id,receipt_no,corp_code,corp_name,stock_code,report_name,event_date,market,t0_close,t+1_close,t+2_close,t+5_close,ret_1d,ret_2d,ret_5d,error,disclosure_id,contract_value_krw,prior_year_revenue_krw,contract_to_revenue_ratio,validation_status
19670,20260429800551,1412725,두산퓨얼셀,336260,단일판매ㆍ공급계약체결,2026-04-29,KOSPI,58600.0,60800.0,60600.0,86300.0,0.0375426621160408,0.0341296928327645,0.4726962457337884,,19670,60800000000.0,454800000000,0.13369999999999999,ok
19493,20260429800701,1412725,두산퓨얼셀,336260,단일판매ㆍ공급계약체결,2026-04-29,KOSPI,58600.0,60800.0,60600.0,86300.0,0.0375426621160408,0.0341296928327645,0.4726962457337884,,19493,49100000000.0,454800000000,0.10800000000000001,ok
38256,20260410800139,367844,자이에스앤디,317400,단일판매ㆍ공급계약체결,2026-04-10,KOSPI,4460.0,4400.0,4410.0,4590.0,-0.0134529147982063,-0.0112107623318385,0.0291479820627802,,38256,157464000000.0,1387596056216,0.11349999999999999,ok
87109,20260320901323,367695,에이전트AI,060900,단일판매ㆍ공급계약체결,2026-03-20,KOSDAQ,6251.0,8106.0,10533.0,7052.0,0.2967525195968645,0.6850103983362661,0.1281394976803711,,87109,1800000000.0,11795782994,0.15259999999999999,ok
87080,20260320901331,367695,에이전트AI,060900,단일판매ㆍ공급계약체결,2026-03-20,KOSDAQ,6251.0,8106.0,10533.0,7052.0,0.2967525195968645,0.6850103983362661,0.1281394976803711,,87080,1700000000.0,11795782994,0.1441,ok
86398,20260323800077,134477,SNT다이내믹스,003570,단일판매ㆍ공급계약체결,2026-03-23,KOSPI,48050.0,47400.0,50800.0,49750.0,-0.0135275754422476,0.0572320499479708,0.0353798126951092,,86398,510480000000.0,614453293151,0.8308,ok
86393,20260323800086,225159,SNT홀딩스,036530,단일판매ㆍ공급계약체결(자회사의 주요경영사항),2026-03-23,KOSPI,62900.0,62700.0,62700.0,59400.0,-0.0031796502384737,-0.0031796502384737,-0.0556438791732909,,86393,510480000000.0,614453293151,0.8308,ok
30235,20260414900290,1170865,네오셈,253590,단일판매ㆍ공급계약체결(자율공시),2026-04-14,KOSDAQ,17750.0,17660.0,17340.0,17750.0,-0.0050704225352112,-0.0230985915492957,0.0,,30235,6209849911.0,63936752061,0.0971,ok
15941,20260506900239,1170865,네오셈,253590,단일판매ㆍ공급계약체결,2026-05-06,KOSDAQ,20650.0,18090.0,17800.0,15720.0,-0.1239709443099273,-0.1380145278450363,-0.2387409200968523,,15941,8534082042.0,63936752061,0.1335,ok
648,20260527900129,1170865,네오셈,253590,단일판매ㆍ공급계약체결,2026-05-27,KOSDAQ,15840.0,15490.0,14120.0,14400.0,-0.0220959595959595,-0.1085858585858585,-0.0909090909090909,,648,11540397499.0,63936752061,0.1805,ok
86203,20260323900320,1516890,E8,418620,단일판매ㆍ공급계약체결,2026-03-23,KOSDAQ,1341.0,1377.0,1400.0,1292.0,0.0268456375838925,0.0439970171513794,-0.0365398956002982,,86203,880000000.0,2285497728,0.385,ok
86116,20260323900428,1157235,아스타,246720,단일판매ㆍ공급계약체결,2026-03-23,KOSDAQ,6230.0,6070.0,6070.0,6070.0,-0.0256821829855538,-0.0256821829855538,-0.0256821829855538,,86116,440760000.0,3354706693,0.13140000000000002,ok
24272,20260422900627,1157235,아스타,246720,단일판매ㆍ공급계약체결,2026-04-22,KOSDAQ,6070.0,6070.0,6070.0,6070.0,0.0,0.0,0.0,,24272,400909091.0,3354706693,0.1195,ok
84058,20260324800257,398701,엘앤에프,066970,단일판매ㆍ공급계약체결,2026-03-24,KOSPI,125000.0,145300.0,144500.0,143900.0,0.1624000000000001,0.1559999999999999,0.1512,,84058,1606718520000.0,1907478512809,0.8423,ok
83759,20260324800684,109806,삼일씨엔에스,004440,단일판매ㆍ공급계약체결,2026-03-24,KOSPI,6910.0,8980.0,9950.0,9810.0,0.2995658465991317,0.4399421128798841,0.4196816208393632,,83759,58555000000.0,221295516428,0.265,ok
54102,20260403801446,131832,SK디스커버리,006120,단일판매ㆍ공급계약체결(자회사의 주요경영사항),2026-04-03,KOSPI,51600.0,51200.0,51600.0,59100.0,-0.0077519379844961,0.0,0.1453488372093023,,54102,18369878406.0,218973453081,0.0839,ok
83955,20260324900417,1555215,스마트레이더시스템,424960,단일판매ㆍ공급계약체결,2026-03-24,KOSDAQ,7230.0,7070.0,6810.0,6450.0,-0.0221300138312586,-0.0580912863070539,-0.1078838174273858,,83955,1154089200.0,4736694422,0.24359999999999998,ok
83772,20260324900614,1435489,범한퓨얼셀,382900,단일판매ㆍ공급계약체결(자율공시),2026-03-24,KOSDAQ,28600.0,28900.0,28850.0,25750.0,0.0104895104895104,0.0087412587412587,-0.0996503496503496,,83772,3603000000.0,36194682101,0.09949999999999999,ok
18752,20260430900121,1435489,범한퓨얼셀,382900,단일판매ㆍ공급계약체결,2026-04-30,KOSDAQ,35250.0,35900.0,40700.0,35450.0,0.0184397163120566,0.154609929078014,0.0056737588652482,,18752,9700000000.0,43361093941,0.2237,ok
58866,20260402900815,105466,KCC건설,021320,단일판매ㆍ공급계약체결,2026-04-02,KOSDAQ,6290.0,6500.0,6480.0,6980.0,0.0333863275039745,0.0302066772655007,0.1096979332273448,,58866,305714000000.0,1833403452922,0.16670000000000001,ok
42891,20260408900887,105466,KCC건설,021320,단일판매ㆍ공급계약체결,2026-04-08,KOSDAQ,7100.0,6980.0,7010.0,7270.0,-0.0169014084507042,-0.0126760563380281,0.0239436619718309,,42891,317898460000.0,1833403452922,0.1734,ok
29615,20260414900446,105466,KCC건설,021320,단일판매ㆍ공급계약체결,2026-04-14,KOSDAQ,7110.0,7270.0,7220.0,7420.0,0.0225035161744022,0.0154711673699015,0.0436005625879043,,29615,238809000000.0,1833403452922,0.1303,ok
21043,20260428900221,105466,KCC건설,021320,단일판매ㆍ공급계약체결,2026-04-28,KOSDAQ,7340.0,7430.0,7110.0,7310.0,0.0122615803814714,-0.0313351498637601,-0.0040871934604904,,21043,556616339000.0,1833403452922,0.3036,ok
11516,20260513900468,105466,KCC건설,021320,단일판매ㆍ공급계약체결(자율공시),2026-05-13,KOSDAQ,6640.0,6750.0,6490.0,5890.0,0.0165662650602409,-0.022590361445783,-0.1129518072289156,,11516,153941000000.0,1833403452922,0.084,ok
83289,20260324901278,353610,이니텍,053350,단일판매ㆍ공급계약체결,2026-03-24,KOSDAQ,3150.0,3225.0,3265.0,3205.0,0.0238095238095237,0.0365079365079366,0.0174603174603174,,83289,4267000000.0,38881694487,0.1097,ok
82150,20260325900613,353610,이니텍,053350,단일판매ㆍ공급계약체결(자율공시),2026-03-25,KOSDAQ,3225.0,3265.0,3250.0,3320.0,0.0124031007751939,0.0077519379844961,0.0294573643410853,,82150,3594380000.0,38881694487,0.0924,ok
83195,20260324901398,544577,브이엠,089970,단일판매ㆍ공급계약체결,2026-03-24,KOSDAQ,46950.0,47750.0,45300.0,38750.0,0.0170394036208731,-0.0351437699680511,-0.174653887113951,,83195,81556000000.0,70277411560,1.1604999999999999,ok
27307,20260416800364,124540,대우건설,047040,단일판매ㆍ공급계약체결,2026-04-16,KOSPI,28600.0,28700.0,28100.0,33250.0,0.0034965034965035,-0.0174825174825175,0.1625874125874125,,27307,1268656700000.0,8054627137857,0.1575,ok
20798,20260428800476,124540,대우건설,047040,단일판매ㆍ공급계약체결,2026-04-28,KOSPI,37150.0,36900.0,35000.0,33200.0,-0.0067294751009421,-0.0578734858681022,-0.1063257065948856,,20798,782755638000.0,8054627137857,0.09720000000000001,ok
74628,20260330801083,164478,현대건설,000720,단일판매ㆍ공급계약체결,2026-03-30,KOSPI,148400.0,142100.0,159900.0,151900.0,-0.0424528301886792,0.0774932614555257,0.0235849056603774,,74628,2748850000000.0,32670268059918,0.084,ok
82547,20260325800267,480455,STX엔진,077970,단일판매ㆍ공급계약체결,2026-03-25,KOSPI,36350.0,35300.0,33500.0,32400.0,-0.0288858321870701,-0.078404401650619,-0.108665749656121,,82547,264385000000.0,724609807886,0.3649,ok
82302,20260325800420,173944,우진,105840,단일판매ㆍ공급계약체결,2026-03-25,KOSPI,27050.0,25400.0,24400.0,24650.0,-0.0609981515711645,-0.0979667282809612,-0.088724584103512,,82302,11340000000.0,140726674100,0.0806,ok
15785,20260506900474,1336762,스피어,347700,단일판매ㆍ공급계약체결,2026-05-06,KOSDAQ,42300.0,40550.0,41650.0,42500.0,-0.0413711583924349,-0.0153664302600472,0.0047281323877068,,15785,13855250988.0,95638566409,0.1449,ok
81651,20260325901147,866451,워트,396470,단일판매ㆍ공급계약체결,2026-03-25,KOSDAQ,7190.0,7000.0,7070.0,7140.0,-0.0264255910987483,-0.0166898470097357,-0.0069541029207231,,81651,2103000000.0,15184230309,0.13849999999999998,ok
79051,20260326903063,866451,워트,396470,단일판매ㆍ공급계약체결,2026-03-26,KOSDAQ,7000.0,7070.0,6920.0,6720.0,0.01,-0.0114285714285714,-0.04,,79051,3023000000.0,15184230309,0.1991,ok
78000,20260327900424,866451,워트,396470,단일판매ㆍ공급계약체결,2026-03-27,KOSDAQ,7070.0,6920.0,6750.0,6760.0,-0.0212164073550211,-0.0452616690240452,-0.0438472418670438,,78000,1872000000.0,15184230309,0.1233,ok
39023,20260409900837,866451,워트,396470,단일판매ㆍ공급계약체결,2026-04-09,KOSDAQ,6870.0,7210.0,7190.0,7710.0,0.049490538573508,0.0465793304221251,0.1222707423580786,,39023,2004000000.0,15220856646,0.1317,ok
81528,20260325901216,660459,나노씨엠에스,247660,단일판매ㆍ공급계약체결,2026-03-25,KOSDAQ,4290.0,4390.0,4520.0,5060.0,0.0233100233100234,0.0536130536130536,0.1794871794871795,,81528,2257386000.0,4649686964,0.4855,ok
80443,20260326800819,878696,에스케이바이오팜,326030,단일판매ㆍ공급계약체결,2026-03-26,KOSPI,94700.0,100300.0,97400.0,94300.0,0.0591341077085534,0.0285110876451952,-0.0042238648363251,,80443,44276404293.0,547596283214,0.081,ok
80073,20260326801323,104786,미래아이앤지,007120,단일판매ㆍ공급계약체결,2026-03-26,KOSPI,2150.0,2120.0,2050.0,1890.0,-0.0139534883720929,-0.0465116279069767,-0.1209302325581395,,80073,1109742273.0,11702648807,0.09480000000000001,ok
24700,20260422900155,1208751,아이에스티이,212710,단일판매ㆍ공급계약체결,2026-04-22,KOSDAQ,8630.0,8410.0,8630.0,9170.0,-0.0254924681344148,0.0,0.0625724217844727,,24700,23500000000.0,32220867462,0.7293000000000001,ok
80945,20260326900208,1704680,M83,476080,단일판매ㆍ공급계약체결,2026-03-26,KOSDAQ,6590.0,6500.0,6290.0,6140.0,-0.0136570561456752,-0.0455235204855841,-0.0682852807283763,,80945,10488100000.0,58163355345,0.18030000000000002,ok
