id,receipt_no,corp_code,corp_name,stock_code,report_name,event_date,market,t0_close,t+1_close,t+2_close,t+5_close,ret_1d,ret_2d,ret_5d,error
1252481,20211124800122,00115287,동방,004140,단일판매ㆍ공급계약체결,2021-11-24,KOSPI,3860.0,3955.0,3840.0,3660.0,0.024611398963730657,-0.005181347150259086,-0.051813471502590636,
647099,20240517800227,00115287,동방,004140,단일판매ㆍ공급계약체결,2024-05-17,KOSPI,2305.0,2300.0,2280.0,2270.0,-0.002169197396963085,-0.010845986984815648,-0.015184381778741818,
620469,20240705800216,00115287,동방,004140,단일판매ㆍ공급계약체결,2024-07-05,KOSPI,2845.0,2960.0,2955.0,2775.0,0.040421792618629215,0.03866432337434089,-0.024604569420035194,
365621,20250722800425,00115287,동방,004140,단일판매ㆍ공급계약체결,2025-07-22,KOSPI,3450.0,3580.0,3630.0,3040.0,0.037681159420289934,0.05217391304347818,-0.11884057971014494,
1318097,20210628800282,00520887,비상교육,100220,단일판매ㆍ공급계약체결,2021-06-28,KOSPI,12150.0,12250.0,14050.0,13350.0,0.008230452674897082,0.15637860082304522,0.09876543209876543,
305285,20251119800332,00520887,비상교육,100220,단일판매ㆍ공급계약체결,2025-11-19,KOSPI,5450.0,5460.0,5390.0,5090.0,0.0018348623853210455,-0.011009174311926606,-0.06605504587155964,
1318058,20210628800308,00115612,동부건설,005960,단일판매ㆍ공급계약체결,2021-06-28,KOSPI,13900.0,13750.0,14200.0,14900.0,-0.010791366906474864,0.021582733812949728,0.07194244604316546,
1283939,20210907800087,00115612,동부건설,005960,단일판매ㆍ공급계약체결,2021-09-07,KOSPI,14200.0,14050.0,13900.0,14650.0,-0.010563380281690127,-0.021126760563380254,0.03169014084507049,
1269216,20211019800062,00115612,동부건설,005960,단일판매ㆍ공급계약체결,2021-10-19,KOSPI,15050.0,14850.0,15000.0,15100.0,-0.013289036544850474,-0.0033222591362126463,0.0033222591362125353,
1242954,20211210800131,00115612,동부건설,005960,단일판매ㆍ공급계약체결,2021-12-10,KOSPI,14700.0,14900.0,14850.0,15200.0,0.013605442176870763,0.010204081632652962,0.03401360544217691,
1240787,20211215800069,00115612,동부건설,005960,단일판매ㆍ공급계약체결,2021-12-15,KOSPI,14900.0,15000.0,15200.0,15350.0,0.006711409395973256,0.020134228187919545,0.030201342281879207,
1234571,20211224800809,00115612,동부건설,005960,단일판매ㆍ공급계약체결,2021-12-24,KOSPI,15350.0,15500.0,15750.0,14450.0,0.009771986970684043,0.026058631921824116,-0.05863192182410426,
1231926,20211230800069,00115612,동부건설,005960,단일판매ㆍ공급계약체결,2021-12-30,KOSPI,14600.0,14450.0,14400.0,14750.0,-0.010273972602739767,-0.013698630136986356,0.010273972602739656,
